profile|default_priorities|first_48_hours|first_week|first_30_days|local_reality|keywords
visitor / day trip|things to do, food, parks, transportation|Pick one easy area; check attraction hours, parking, weather, and food nearby.|If staying a few days, mix attractions with parks, downtown, WKU area, and local food.|If staying longer, add groceries, laundry, healthcare, library, and transportation routines.|Bowling Green is spread out. A car makes many visitor stops easier, but downtown and some central areas are simpler.|visitor day trip tourist things to do attraction food park downtown corvette cave
passing through|food, restroom, quick stop, parks, visitor info|Find food, restroom, fuel or charging, and one easy stop that does not create a long detour.|If delayed overnight, choose lodging, groceries, pharmacy, and urgent care by transportation and parking.|If the stop becomes longer, use the local plan like a short-term resident.|People passing through need fast answers: parking, hours, bathrooms, pets, kids, and safe return to the road.|passing through road trip quick stop visitor food restroom park pet
local resident|things to do, food, parks, transportation, services|Skip the basic newcomer setup and focus on the specific errand or plan.|Compare nearby options by cost, hours, parking, kid/pet rules, and no-car reality.|Use NewBG as a shortcut for local planning, checklists, and finding overlooked community resources.|Locals need faster answers, not basic explanations of Bowling Green.|local resident i live here from here bowling green resident nearby low cost
out-of-state mover|license, housing, groceries, healthcare, transportation|Confirm where you are staying, what documents you have, and what must change for Kentucky.|Check license/REAL ID, proof of address, healthcare, groceries, library, and transportation.|Build a Kentucky setup plan for documents, services, work/school, parks, and routines.|Someone from Tennessee or another state is not a tourist, but they may still need Kentucky-specific steps.|out of state moving from tennessee ohio indiana florida texas new to kentucky license resident
refugee/new American|food, housing, healthcare, transportation, newcomer help|Contact International Center or Start Here; secure food and safe housing; list urgent documents.|Ask about case support, interpretation, clinic options, school enrollment, and bus planning.|Build document folder; plan healthcare, work, school, library access, and food routines.|Eligibility and program capacity matter. Call before going.|refugee new american immigrant newcomer interpretation case support
international student|transportation, groceries, healthcare, parks, library|Confirm campus support contacts, phone service, groceries, and how to reach appointments.|Map groceries, clinic options, library or computer access, and transit around class schedule.|Set up state ID or license if needed, job rules if eligible, and low-cost routines.|WKU area can be walkable, but city errands may still require transit.|international student wku campus no car groceries
worker|jobs, transportation, healthcare, housing, food|Check work commute before accepting shifts; secure food and sleep; save transit schedules.|Build a job search or workforce plan and verify late shift transportation.|Choose work based on wage plus commute cost, not wage alone.|Many jobs are outside easy bus hours or routes.|worker job transportation commute shift
family|food, housing, healthcare, parks, library|Secure food, safe sleep, school or childcare documents, and nearby support.|Find library branch, clinic, parks, groceries, and school enrollment steps.|Create weekly grocery, clinic, school, and recreation plan.|Moving with kids makes missed buses and repeat office trips harder.|family kids school library parks food
pet owner|animal care, housing, parks, transportation|Confirm pet safety, food, vaccine records, and housing pet rules.|Find vet or vaccine options, lost pet steps, and nearby dog-friendly outdoor space.|Budget for vaccines, spay/neuter, emergency care, and transport with pets.|Pet transport is one of the hardest no-car realities.|pet owner dog cat animal care housing
no car|transportation, food, groceries, healthcare, jobs|Plan food, shelter, and appointments by return trip first.|Map GoBG routes to groceries, clinic, library, work, and support offices.|Choose services and jobs by realistic transit, sidewalks, weather, and hours.|Bowling Green can look close but feel far without sidewalks or late transit.|no car bus transit walking transportation
